vector_id,label,vector_path,image_id,object_id
fda88030-d817-4d1b-ae4c-0617d205dbf1,2,/home/azureuser/capstone/embeddings/fda88030-d817-4d1b-ae4c-0617d205dbf1.pt,64,350246
74086675-d805-45d6-a6dc-ba4e18c3092b,2,/home/azureuser/capstone/embeddings/74086675-d805-45d6-a6dc-ba4e18c3092b.pt,71,141916
5f0bfad4-9b0b-42a9-9d4b-7657b545d689,2,/home/azureuser/capstone/embeddings/5f0bfad4-9b0b-42a9-9d4b-7657b545d689.pt,71,142392
9f2b4313-e21d-4a73-818d-931f268fa109,2,/home/azureuser/capstone/embeddings/9f2b4313-e21d-4a73-818d-931f268fa109.pt,71,147406
18ae533f-3897-4242-801c-0a5671be2989,2,/home/azureuser/capstone/embeddings/18ae533f-3897-4242-801c-0a5671be2989.pt,71,147450
724d82c5-e55d-4b0c-8695-1ff182336589,39,/home/azureuser/capstone/embeddings/724d82c5-e55d-4b0c-8695-1ff182336589.pt,71,243806
7210c9d9-f486-4805-8c5d-16b8c502120a,2,/home/azureuser/capstone/embeddings/7210c9d9-f486-4805-8c5d-16b8c502120a.pt,71,1341891
30fa82a0-7c41-4791-b2e1-4cfaafde8ae1,2,/home/azureuser/capstone/embeddings/30fa82a0-7c41-4791-b2e1-4cfaafde8ae1.pt,71,1775392
e19e10c0-99ea-41a1-8972-f7a2e493aed6,2,/home/azureuser/capstone/embeddings/e19e10c0-99ea-41a1-8972-f7a2e493aed6.pt,71,1775823
a3019068-2d37-49ef-800a-3b06f74b5bac,2,/home/azureuser/capstone/embeddings/a3019068-2d37-49ef-800a-3b06f74b5bac.pt,71,1779188
e90a479e-ae18-412b-ac66-a1fe6c8b4990,2,/home/azureuser/capstone/embeddings/e90a479e-ae18-412b-ac66-a1fe6c8b4990.pt,71,1783107
7f571160-f3ae-4951-99e2-9e862612b5e8,2,/home/azureuser/capstone/embeddings/7f571160-f3ae-4951-99e2-9e862612b5e8.pt,71,1783702
2ad5ac14-388b-4137-ae77-6de554cfbd1d,2,/home/azureuser/capstone/embeddings/2ad5ac14-388b-4137-ae77-6de554cfbd1d.pt,71,2229703
