vector_id,label,vector_path,image_id,object_id
8e65cbd6-c391-4105-a8ae-57e2bd64c6e7,49,/Users/alecsong/School/capstone/embeddings/8e65cbd6-c391-4105-a8ae-57e2bd64c6e7.pt,9,1914001
5c920b08-1c51-47a5-a410-b335ce2d9d59,0,/Users/alecsong/School/capstone/embeddings/5c920b08-1c51-47a5-a410-b335ce2d9d59.pt,49,198565
15dac0ed-2ddc-4638-8ac2-55fe60cf58fc,7,/Users/alecsong/School/capstone/embeddings/15dac0ed-2ddc-4638-8ac2-55fe60cf58fc.pt,64,1367656
93967bdc-42ad-4a1f-b0ed-dc3efb5b3902,41,/Users/alecsong/School/capstone/embeddings/93967bdc-42ad-4a1f-b0ed-dc3efb5b3902.pt,164,683259
c24a10b7-6894-4855-b191-d8a0151390ce,0,/Users/alecsong/School/capstone/embeddings/c24a10b7-6894-4855-b191-d8a0151390ce.pt,257,1309094
5c75d6b9-ef65-4551-8538-aac9a8d59070,7,/Users/alecsong/School/capstone/embeddings/5c75d6b9-ef65-4551-8538-aac9a8d59070.pt,257,1800634
d5d76f43-c737-4e5f-95c0-f18da0631731,54,/Users/alecsong/School/capstone/embeddings/d5d76f43-c737-4e5f-95c0-f18da0631731.pt,438,1576340
e45e03c9-9140-47eb-8416-d6be58cc7620,32,/Users/alecsong/School/capstone/embeddings/e45e03c9-9140-47eb-8416-d6be58cc7620.pt,488,302707
921bdb06-e49e-44dc-ac72-a8efbc520cfe,26,/Users/alecsong/School/capstone/embeddings/921bdb06-e49e-44dc-ac72-a8efbc520cfe.pt,536,1182221
b80ee855-328b-492f-b76f-c91a00128d7c,29,/Users/alecsong/School/capstone/embeddings/b80ee855-328b-492f-b76f-c91a00128d7c.pt,625,603975
9bdb6e8a-120f-4781-9592-06e16b2d7036,62,/Users/alecsong/School/capstone/embeddings/9bdb6e8a-120f-4781-9592-06e16b2d7036.pt,643,34315
1ac18b82-086c-4172-b37e-620cc5d06aff,49,/Users/alecsong/School/capstone/embeddings/1ac18b82-086c-4172-b37e-620cc5d06aff.pt,715,1559024
8fc582b2-f02a-4b7f-9860-ce5f37b18448,43,/Users/alecsong/School/capstone/embeddings/8fc582b2-f02a-4b7f-9860-ce5f37b18448.pt,790,1891720
7e5a8c27-3940-4f6e-b9fe-bf3110cc2674,0,/Users/alecsong/School/capstone/embeddings/7e5a8c27-3940-4f6e-b9fe-bf3110cc2674.pt,839,482127
b029f66c-ff13-4574-bb5c-9a75fb0a0251,46,/Users/alecsong/School/capstone/embeddings/b029f66c-ff13-4574-bb5c-9a75fb0a0251.pt,984,1541495
86c7713a-91c2-42f1-8f37-e1da7a90f3bc,61,/Users/alecsong/School/capstone/embeddings/86c7713a-91c2-42f1-8f37-e1da7a90f3bc.pt,1099,1094958
7d076c8e-8816-4714-83c6-2f11fbfd0951,0,/Users/alecsong/School/capstone/embeddings/7d076c8e-8816-4714-83c6-2f11fbfd0951.pt,1122,409241
c1251308-cdae-4b74-8040-b770913b636e,56,/Users/alecsong/School/capstone/embeddings/c1251308-cdae-4b74-8040-b770913b636e.pt,1138,1933180
9398e800-e7eb-49d3-be23-fea8b18f309c,39,/Users/alecsong/School/capstone/embeddings/9398e800-e7eb-49d3-be23-fea8b18f309c.pt,1153,1866975
3948c410-5f7e-4fec-aeb2-bdda1fe58e47,56,/Users/alecsong/School/capstone/embeddings/3948c410-5f7e-4fec-aeb2-bdda1fe58e47.pt,1155,379840
a15b7746-fcbd-4656-96c8-7c2ef562d574,0,/Users/alecsong/School/capstone/embeddings/a15b7746-fcbd-4656-96c8-7c2ef562d574.pt,1270,1813760
d4da47c7-eec7-4a76-9dbc-ac2da4e07339,16,/Users/alecsong/School/capstone/embeddings/d4da47c7-eec7-4a76-9dbc-ac2da4e07339.pt,1360,12321
